commit,refactoring type,description,tool,validation,note
https://github.com/dit/dit/commit/03506ef2d7839511ca4e0f6bee856a248a15f244,Rename Method,"Location: dit/algorithms/jsd.py
The method ""JSD"" is renamed to ""jensen_shannon_divergence""",PyRef,TP,
https://github.com/dit/dit/commit/04bbb4e0a4481da4136bbce632bfaaab6be0fded,Add Parameter,"Location: dit/distribution.py
The parameter(s) ""str_events""is/are added to the method ""prepare_string""",PyRef,TP,
https://github.com/dit/dit/commit/04bbb4e0a4481da4136bbce632bfaaab6be0fded,Add Parameter,"Location: dit/npjdist.py/JointDistribution
The parameter(s) ""str_events"" in the class ""JointDistribution""is/are added to the method ""to_string""",PyRef,TP,
https://github.com/dit/dit/commit/052455d367492b3b2a3607f363958fcd33dbca01,Remove Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""str_events"" is/are removed from the method ""_init"" in the class ""Distribution""",PyRef,TP,
https://github.com/dit/dit/commit/052455d367492b3b2a3607f363958fcd33dbca01,Remove Parameter,"Location: dit/npscalardist.py/ScalarDistribution
The parameter(s) ""str_events"" is/are removed from the method ""_init"" in the class ""ScalarDistribution""",PyRef,TP,
https://github.com/dit/dit/commit/05279fd755a9d476609718b5b9d48c12223557d3,Rename Method,"Location: dit/distribution.py/BaseDistribution
The method ""__repr__"" in the class ""BaseDistribution"" is renamed to ""__str__""",PyRef,TP,
https://github.com/dit/dit/commit/05279fd755a9d476609718b5b9d48c12223557d3,Change/Rename Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""eventspace"" of the method ""__init__"" in the class ""Distribution"" is/are changed/renamed to ""alphabet""",PyRef,TP,
https://github.com/dit/dit/commit/05279fd755a9d476609718b5b9d48c12223557d3,Change/Rename Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""eventspace"" of the method ""_init"" in the class ""Distribution"" is/are changed/renamed to ""alphabet""",PyRef,TP,
https://github.com/dit/dit/commit/05279fd755a9d476609718b5b9d48c12223557d3,Change/Rename Parameter,"Location: dit/npdist.py
The parameter(s) ""eventspace"" of the method ""_make_distribution"" is/are changed/renamed to ""alphabet""",PyRef,TP,
https://github.com/dit/dit/commit/05279fd755a9d476609718b5b9d48c12223557d3,Change/Rename Parameter,"Location: dit/npdist.py
The parameter(s) ""eventspace"" of the method ""reorder"" is/are changed/renamed to ""alphabet""",PyRef,TP,
https://github.com/dit/dit/commit/0ba8d52edb7fdfc72af88fbd87359c0096c6b7ec,Add Parameter,"Location: dit/npjdist.py/JointDistribution
The parameter(s) ""prng"" in the class ""JointDistribution""is/are added to the method ""__init__""",PyRef,TP,
https://github.com/dit/dit/commit/0ba8d52edb7fdfc72af88fbd87359c0096c6b7ec,Add Parameter,"Location: dit/npjdist.py
The parameter(s) ""prng""is/are added to the method ""_make_distribution""",PyRef,TP,
https://github.com/dit/dit/commit/11bbbd7c46dc8b8039ea5ca0a66287e331c73920,Rename Method,"Location: dit/shannon/tests/test_shannon.py
The method ""test_H0"" is renamed to ""test_entropy_pmf1d""",PyRef,TP,
https://github.com/dit/dit/commit/145882bbe3addf859c7ff2ecc36993f6f5506b10,Rename Method,"Location: dit/math/pmfops.py
The method ""perturb"" is renamed to ""perturb_support""",PyRef,TP,
https://github.com/dit/dit/commit/18fc0b2ade215c6c1d8a497944188619aa135d28,Add Parameter,"Location: dit/math/pmfops.py
The parameter(s) ""shape""is/are added to the method ""perturb_support""",PyRef,TP,
https://github.com/dit/dit/commit/21cc4f498f9caf00f02acf2336881a0015b9bb95,Rename Method,"Location: dit/npjdist.py/JointDistribution
The method ""is_heterogenous"" in the class ""JointDistribution"" is renamed to ""is_homogeneous""",PyRef,TP,
https://github.com/dit/dit/commit/23b596ed402b8a2ae513a05623bcb6527c8481d8,Add Parameter,"Location: dit/algorithms/maxentropy.py/PhantomArray
The parameter(s) ""symbols"" in the class ""PhantomArray""is/are added to the method ""__init__""",PyRef,TP,
https://github.com/dit/dit/commit/23b596ed402b8a2ae513a05623bcb6527c8481d8,Rename Method,"Location: dit/algorithms/maxentropy.py
The method ""constraint_rank"" is renamed to ""linear_constraint_rank""",PyRef,TP,
https://github.com/dit/dit/commit/3d557425fd7bf400ae31c02890335c5330a6c04c,Push Down Method,"Location: nan
Push Down Method package NecessaryIntrinsicMutualInformation_1() : void from class org.dit.multivariate.secret_key_agreement.necessary_intrinsic_mutual_information.NecessaryIntrinsicMutualInformation to package NecessaryIntrinsicMutualInformation_1() : void from class org.dit.multivariate.secret_key_agreement.skar_lower_bounds.NecessaryIntrinsicMutualInformation",Python-adapted RMiner,FP,
https://github.com/dit/dit/commit/3d557425fd7bf400ae31c02890335c5330a6c04c,Push Down Method,"Location: dit/multivariate/secret_key_agreement/necessary_intrinsic_mutual_information.py
Push Down Method package objective(self NecessaryIntrinsicMutualInformation, x Any) : void from class org.dit.multivariate.secret_key_agreement.necessary_intrinsic_mutual_information.NecessaryIntrinsicMutualInformation to package objective(self NecessaryIntrinsicMutualInformation, x Any) : void from class org.dit.multivariate.secret_key_agreement.skar_lower_bounds.NecessaryIntrinsicMutualInformation",Python-adapted RMiner,FP,
https://github.com/dit/dit/commit/419143187cf53ad9f9539af4e48fb44bc2c51366,Rename Method,"Location: dit/distribution.py/BaseDistribution
The method ""is_numeric"" in the class ""BaseDistribution"" is renamed to ""is_numerical""",PyRef,TP,
https://github.com/dit/dit/commit/439b356ec279f85d1814c6197949c68d48924af4,Add Parameter,"Location: dit/algorithms/maxentropy.py
The parameter(s) ""jitter""is/are added to the method ""maxent_dists""",PyRef,TP,
https://github.com/dit/dit/commit/439b356ec279f85d1814c6197949c68d48924af4,Rename Method,"Location: dit/algorithms/maxentropy.py
The method ""linear_constraint_rank"" is renamed to ""marginal_constraint_rank""",PyRef,TP,
https://github.com/dit/dit/commit/439b356ec279f85d1814c6197949c68d48924af4,Rename Method,"Location: dit/algorithms/maxentropy.py
The method ""linear_constraints"" is renamed to ""marginal_constraints""",PyRef,TP,
https://github.com/dit/dit/commit/46aaa81889c17726ef21befa9a037353d7bb1bd3,Add Parameter,"Location: dit/distribution.py/BaseDistribution
The parameter(s) ""copy"" in the class ""BaseDistribution""is/are added to the method ""set_base""",PyRef,TP,
https://github.com/dit/dit/commit/46aaa81889c17726ef21befa9a037353d7bb1bd3,Add Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""copy"" in the class ""Distribution""is/are added to the method ""set_base""",PyRef,TP,
https://github.com/dit/dit/commit/46aaa81889c17726ef21befa9a037353d7bb1bd3,Add Parameter,"Location: dit/npdist.py
The parameter(s) ""prng""is/are added to the method ""_make_distribution""",PyRef,TP,
https://github.com/dit/dit/commit/475506c753c8419090603a63642ee7aae61904e2,Rename Method,"Location: docs/tools/sphinxext/lexers.py/IPythonConsoleLexer
The method ""get_modecode"" in the class ""IPythonConsoleLexer"" is renamed to ""get_mci""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Pull Up Method,"Location: dit/npjdist.py
The method ""__setitem__"" of the class ""JointDistribution""in the file ""dit/npjdist.py""is pulled up to the class ""Distribution""in the file ""dit/npdist.py""",PyRef,FP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Rename Method,"Location: dit/distribution.py/BaseDistribution
The method ""_validate_events"" in the class ""BaseDistribution"" is renamed to ""_validate_outcomes""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Rename Method,"Location: dit/distribution.py/BaseDistribution
The method ""sample"" in the class ""BaseDistribution"" is renamed to ""rand""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Rename Method,"Location: dit/distribution.py/BaseDistribution
The method ""eventprobs"" in the class ""BaseDistribution"" is renamed to ""zipped""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Rename Method,"Location: dit/npdist.py/Distribution
The method ""eventspace"" in the class ""Distribution"" is renamed to ""sample_space""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Rename Method,"Location: dit/npjdist.py/JointDistribution
The method ""_get_event_constructor"" in the class ""JointDistribution"" is renamed to ""_get_outcome_constructor""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Rename Method,"Location: dit/npjdist.py/JointDistribution
The method ""event_length"" in the class ""JointDistribution"" is renamed to ""outcome_length""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Rename Method,"Location: dit/npjdist.py/JointDistribution
The method ""eventspace"" in the class ""JointDistribution"" is renamed to ""sample_space""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Rename Method,"Location: dit/distribution.py
The method ""eventwc"" is renamed to ""outcome_wc""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Change/Rename Parameter,"Location: dit/distribution.py
The parameter(s) ""event"" of the method ""eventwc"" is/are changed/renamed to ""outcome""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Rename Method,"Location: dit/npdist.py/Distribution
The method ""has_event"" in the class ""Distribution"" is renamed to ""has_outcome""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Change/Rename Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""event"" of the method ""has_event"" in the class ""Distribution"" is/are changed/renamed to ""outcome""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Change/Rename Parameter,"Location: dit/distribution.py/BaseDistribution
The parameter(s) ""event"" of the method ""__contains__"" in the class ""BaseDistribution"" is/are changed/renamed to ""outcome""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Change/Rename Parameter,"Location: dit/distribution.py
The parameter(s) ""str_events"" of the method ""prepare_string"" is/are changed/renamed to ""str_outcomes""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Change/Rename Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""event"" of the method ""__contains__"" in the class ""Distribution"" is/are changed/renamed to ""outcome""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Change/Rename Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""events"" of the method ""__init__"" in the class ""Distribution"" is/are changed/renamed to ""outcomes""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Change/Rename Parameter,"Location: dit/npdist.py/Distribution
The parameter(s) ""events"" of the method ""_init"" in the class ""Distribution"" is/are changed/renamed to ""outcomes""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Change/Rename Parameter,"Location: dit/npdist.py
The parameter(s) ""events"" of the method ""_make_distribution"" is/are changed/renamed to ""outcomes""",PyRef,TP,
https://github.com/dit/dit/commit/4b99425db6f200c677e5117a8b9dc162d81e6a60,Change/Rename Parameter,"Location: dit/npdist.py
The parameter(s) ""events"" of the method ""reorder"" is/are changed/renamed to ""outcomes""",PyRef,TP,
